Codigo,Fecha,Solidos Suspendidos,Sólidos Disueltos,Sólidos Sedimentables,Solidos Totales,Alcalinidad,Coliformes Totales,Coliformes Fecales,Dureza Total,Cloruros,Conductividad,DBO,DQO,Fosfatos,Ortofosfatos,GYA,Nitritos,Nitratos,Sulfatos,Turbidez,pH,OD,Temperatura,Silice
-,-,mg/L,mg/L,mg/L,mg/L,mg/L CaCO3,UFC/mL,UFC/mL,mg/L CaCO3,mg/L,µmhos/cm,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,UNT,[H+],mg/L,°C,1
RIO103,04/04/2006,,,,824,,X,X,,114,1123,X,X,0.614,,X,0.0007,0.8,222,11,8.6,7.09,27.4,1
RIO106,04/04/2006,,,,766,,X,X,,126,1257,X,X,0.514,,0.5,0.0008,0.9,210.5,6,8.9,6.34,26.8,1
RIO107,04/04/2006,,,,632,,5000,3000,,90,958,1.1,X,0.312,,0.6666667,0.0012,0.9,196,11,7.3,6.43,28.8,1
RIO109,04/04/2006,,,,760,,3000,2300,,117,1176,1.62,8.5,0.029,,0.5,0.0009,0.9,193.5,15,7.3,6.85,30.2,1
RIO111,04/04/2006,,,,398,,X,X,,54,671,X,X,0.775,,X,0,1.2,50.3,8,8.4,6.71,30.7,1
RIO112,04/04/2006,,,,414,,2200,1700,,51,698,1.13,7.9,0.728,,0.8,0.001,1.1,63.5,8,8.5,7.09,29.5,1
RIO113,04/04/2006,,,,342,,X,X,,54,725,X,X,0.511,,X,0.0009,1,71.3,17,8.7,6.37,32.3,1
RIO114,04/04/2006,,,,628,,X,X,,97,1064,X,X,0.659,,X,0.0001,1,151,6,8.7,6.73,28.1,1
RIO115,04/04/2006,,,,690,,2200,1700,,109,1108,1.22,8.3,0.623,,0.8,0.0013,0.9,144.5,12,8.7,6.84,27.4,1
RIO102,04/05/2006,,,,522,,5000,2300,,25,313,2.21,32.7,0.529,,3.6,0.0073,0.9,55,304,8.3,3.97,26.2,1
RIO103,04/05/2006,,,,484,,X,X,,23,278,X,X,0.396,,2.8,0.0071,0.8,46.8,252,7.5,4.17,26.5,1
RIO106,04/05/2006,,,,540,,X,X,,22,290,X,X,0.379,,2.8,0.0079,1,45.5,335,7.9,3.78,27.1,1
RIO107,04/05/2006,,,,540,,30000,5000,,27,318,2.65,X,0.389,,1.2,0.0047,1.6,47.8,384,8.6,4.04,27.8,1
RIO109,04/05/2006,,,,544,,30000,2200,,34,475,2.25,19,0.395,,0.8,0.0018,1.2,68.9,278,8.4,4.08,27.4,1
